symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-03-04 00:00:00+00:00,302.74,303.4,293.13,296.44,54794568,73.5531146511,73.7134669523,71.2182879622,72.0224790486,219178272,0.0,1.0
AAPL,2020-03-05 00:00:00+00:00,292.92,299.55,291.41,295.52,46893219,71.1672667754,72.7780785285,70.8004001469,71.798957659,187572876,0.0,1.0
AAPL,2020-03-06 00:00:00+00:00,289.03,290.82,281.23,282.0,56544246,70.2221600304,70.6570549079,68.3270873797,68.5141650644,226176984,0.0,1.0
AAPL,2020-03-09 00:00:00+00:00,266.17,278.09,263.0,263.75,71686208,64.6681394156,67.5641991587,63.8979624537,64.0801809778,286744832,0.0,1.0
AAPL,2020-03-10 00:00:00+00:00,285.34,286.44,269.37,277.14,71322520,69.3256448918,69.5928987271,65.4456051184,67.3333890282,285290080,0.0,1.0
AAPL,2020-03-11 00:00:00+00:00,275.43,281.22,271.86,277.39,64094970,66.9179307932,68.3246577993,66.0505706185,67.3941285362,256379880,0.0,1.0
AAPL,2020-03-12 00:00:00+00:00,248.23,270.0,248.0,255.94,104618517,60.3094723189,65.5986686787,60.2535919715,62.1826787468,418474068,0.0,1.0
AAPL,2020-03-13 00:00:00+00:00,277.97,279.92,252.95,264.89,92683032,67.5350441949,68.0088123576,61.4562342306,64.3571531344,370732128,0.0,1.0
AAPL,2020-03-16 00:00:00+00:00,242.21,259.08,240.0,241.95,80605865,58.8468649654,62.9455669677,58.3099277144,58.7836958771,322423460,0.0,1.0
AAPL,2020-03-17 00:00:00+00:00,252.86,257.61,238.4,247.51,81013965,61.4343680078,62.5884186604,57.921194863,60.1345425358,324055860,0.0,1.0
AAPL,2020-03-18 00:00:00+00:00,246.67,250.0,237.12,239.77,75058406,59.9304577888,60.7395080358,57.6102085818,58.254047367,300233624,0.0,1.0
AAPL,2020-03-19 00:00:00+00:00,244.78,252.84,242.61,247.39,67964255,59.471267108,61.4295088471,58.9440481783,60.1053875719,271857020,0.0,1.0
AAPL,2020-03-20 00:00:00+00:00,229.24,251.83,228.0,247.18,100423346,55.6956992885,61.1841212346,55.3944313287,60.0543663852,401693384,0.0,1.0
AAPL,2020-03-23 00:00:00+00:00,224.37,228.5,212.61,228.08,84188208,54.512493672,55.5159103447,51.655307214,55.4138679712,336752832,0.0,1.0
AAPL,2020-03-24 00:00:00+00:00,246.88,247.69,234.3,236.36,71882773,59.9814789755,60.1782749816,56.9250669312,57.4255604774,287531092,0.0,1.0
AAPL,2020-03-25 00:00:00+00:00,245.52,258.25,244.3,250.75,75900510,59.6510560518,62.743911801,59.3546472526,60.9217265599,303602040,0.0,1.0
AAPL,2020-03-26 00:00:00+00:00,258.44,258.68,246.36,246.52,63140169,62.7900738271,62.8483837548,59.8551407988,59.894014084,252560676,0.0,1.0
AAPL,2020-03-27 00:00:00+00:00,247.74,255.87,247.05,252.75,51054153,60.1904228832,62.1656716845,60.022781841,61.4076426242,204216612,0.0,1.0
AAPL,2020-03-30 00:00:00+00:00,254.81,255.52,249.4,250.74,41994110,61.9081361704,62.0806363733,60.5937332165,60.9192969796,167976440,0.0,1.0
AAPL,2020-03-31 00:00:00+00:00,254.29,262.49,252.0,255.6,49250501,61.7817979937,63.7740538573,61.2254241001,62.1000730158,197002004,0.0,1.0
AAPL,2020-04-01 00:00:00+00:00,240.91,248.72,239.13,246.5,44054638,58.5310195236,60.4285217547,58.0985542264,59.8891549233,176218552,0.0,1.0
AAPL,2020-04-02 00:00:00+00:00,244.93,245.15,236.9,240.34,41483493,59.5077108129,59.5611615799,57.5567578147,58.3925334453,165933972,0.0,1.0
AAPL,2020-04-03 00:00:00+00:00,241.41,245.7,238.97,242.8,32470017,58.6524985397,59.6947884976,58.0596809413,58.9902102044,129880068,0.0,1.0
AAPL,2020-04-06 00:00:00+00:00,262.47,263.11,249.38,250.9,50455071,63.7691946967,63.9246878372,60.5888740559,60.9581702648,201820284,0.0,1.0
AAPL,2020-04-07 00:00:00+00:00,259.43,271.7,259.0,270.8,50721831,63.0306022789,66.0116973333,62.9261303251,65.7930351044,202887324,0.0,1.0
AAPL,2020-04-08 00:00:00+00:00,266.07,267.37,261.23,262.74,42223821,64.6438436124,64.9596890542,63.4679267368,63.8347933653,168895284,0.0,1.0
AAPL,2020-04-09 00:00:00+00:00,267.99,270.07,264.7,268.7,40529123,65.1103230341,65.6156757409,64.3109911083,65.2828232369,162116492,0.0,1.0
AAPL,2020-04-13 00:00:00+00:00,273.25,273.7,265.83,268.31,32755731,66.3882822832,66.4976133976,64.5855336847,65.1880696044,131022924,0.0,1.0
AAPL,2020-04-14 00:00:00+00:00,287.05,288.25,278.05,280.0,48748672,69.7411031267,70.0326527653,67.5544808374,68.0282490001,194994688,0.0,1.0
AAPL,2020-04-15 00:00:00+00:00,284.43,286.33,280.63,282.4,32788641,69.1045530825,69.5661733436,68.1813125604,68.6113482773,131154564,0.0,1.0
AAPL,2020-04-16 00:00:00+00:00,286.69,288.2,282.35,287.38,39281290,69.6536382352,70.0205048637,68.5992003757,69.8212792773,157125160,0.0,1.0
AAPL,2020-04-17 00:00:00+00:00,282.8,286.95,276.86,284.69,53812478,68.7085314901,69.7168073235,67.2653607792,69.1677221709,215249912,0.0,1.0
AAPL,2020-04-20 00:00:00+00:00,276.93,281.68,276.85,277.95,32503750,67.2823678414,68.4364184941,67.2629311989,67.5301850342,130015000,0.0,1.0
AAPL,2020-04-21 00:00:00+00:00,268.37,277.25,265.43,276.28,45247893,65.2026470863,67.3601144117,64.4883504718,67.1244451205,180991572,0.0,1.0
AAPL,2020-04-22 00:00:00+00:00,276.1,277.9,272.2,273.61,29264342,67.0807126748,67.5180371326,66.1331763494,66.4757471747,117057368,0.0,1.0
AAPL,2020-04-23 00:00:00+00:00,275.03,281.75,274.87,275.87,31203582,66.8207475804,68.4534255564,66.7818742952,67.0248323274,124814328,0.0,1.0
AAPL,2020-04-24 00:00:00+00:00,282.97,283.01,277.0,277.2,31627183,68.7498343556,68.7595526769,67.2993749037,67.3479665101,126508732,0.0,1.0
AAPL,2020-04-27 00:00:00+00:00,283.17,284.54,279.95,281.8,29271893,68.798425962,69.1312784661,68.0161010985,68.465573458,117087572,0.0,1.0
AAPL,2020-04-28 00:00:00+00:00,278.58,285.83,278.2,285.08,28001187,67.6832485945,69.4446943275,67.5909245423,69.2624758034,112004748,0.0,1.0
AAPL,2020-04-29 00:00:00+00:00,287.73,289.67,283.89,284.73,34320204,69.9063145886,70.3776531709,68.9733557452,69.1774404922,137280816,0.0,1.0
AAPL,2020-04-30 00:00:00+00:00,293.8,294.53,288.35,289.96,45765968,71.3810698437,71.5584292072,70.0569485685,70.4481110003,183063872,0.0,1.0
AAPL,2020-05-01 00:00:00+00:00,289.07,299.0,285.85,286.25,60154175,70.2318783517,72.6444516108,69.4495534882,69.546736701,240616700,0.0,1.0
AAPL,2020-05-04 00:00:00+00:00,293.16,293.69,286.32,289.17,33391986,71.2255767031,71.3543444602,69.5637437633,70.2561741549,133567944,0.0,1.0
AAPL,2020-05-05 00:00:00+00:00,297.56,301.0,294.46,295.06,36937795,72.2945920446,73.1303676751,71.5414221449,71.6871969642,147751180,0.0,1.0
AAPL,2020-05-06 00:00:00+00:00,300.63,303.24,298.87,300.46,35583438,73.0404732032,73.6745936671,72.6128670667,72.9991703378,142333752,0.0,1.0
AAPL,2020-05-07 00:00:00+00:00,303.74,305.17,301.97,303.22,28803764,73.7960726832,74.1435026692,73.3660369663,73.6697345065,115215056,0.0,1.0
AAPL,2020-05-08 00:00:00+00:00,310.13,310.35,304.29,305.64,33511985,75.547800095,75.6013921887,74.1251736075,74.4540341825,134047940,0.82,1.0
AAPL,2020-05-11 00:00:00+00:00,315.01,317.05,307.24,308.1,36486561,76.7365701735,77.2335150424,74.843794864,75.0532912303,145946244,0.0,1.0
AAPL,2020-05-12 00:00:00+00:00,311.41,319.69,310.91,317.83,40575263,75.8596086402,77.8766201669,75.7378084272,77.4235233747,162301052,0.0,1.0
AAPL,2020-05-13 00:00:00+00:00,307.65,315.95,303.21,312.15,50155639,74.9436710386,76.9655545739,73.8620851475,76.0398729553,200622556,0.0,1.0
AAPL,2020-05-14 00:00:00+00:00,309.54,309.79,301.53,304.51,39732269,75.4040758437,75.4649759501,73.4528364319,74.1787657012,158929076,0.0,1.0
AAPL,2020-05-15 00:00:00+00:00,307.71,307.9,300.21,300.35,41587094,74.9582870642,75.0045711451,73.1312838697,73.1653879293,166348376,0.0,1.0
AAPL,2020-05-18 00:00:00+00:00,314.96,316.5,310.32,313.17,33843125,76.7243901522,77.0995348082,75.5940841759,76.2883453898,135372500,0.0,1.0
AAPL,2020-05-19 00:00:00+00:00,313.14,318.52,313.01,315.03,25432385,76.281037377,77.5916076685,76.2493693216,76.741442182,101729540,0.0,1.0
AAPL,2020-05-20 00:00:00+00:00,319.23,319.52,316.52,316.68,27876215,77.764563971,77.8352080945,77.1044068167,77.1433828848,111504860,0.0,1.0
AAPL,2020-05-21 00:00:00+00:00,316.85,320.89,315.87,318.66,25672211,77.1847949572,78.168940678,76.9460665398,77.6257117282,102688844,0.0,1.0
AAPL,2020-05-22 00:00:00+00:00,318.89,319.23,315.35,315.77,20450754,77.6817398261,77.764563971,76.8193943183,76.9217064972,81803016,0.0,1.0
AAPL,2020-05-26 00:00:00+00:00,316.73,324.24,316.5,323.5,31380454,77.1555629061,78.9850021049,77.0995348082,78.8047377897,125521816,0.0,1.0
AAPL,2020-05-27 00:00:00+00:00,318.11,318.71,313.09,316.14,28236274,77.4917314939,77.6378917495,76.2688573557,77.0118386548,112945096,0.0,1.0
AAPL,2020-05-28 00:00:00+00:00,318.25,323.44,315.63,316.77,33449103,77.5258355535,78.7901217641,76.8876024376,77.1653069232,133796412,0.0,1.0
AAPL,2020-05-29 00:00:00+00:00,317.94,321.15,316.47,319.25,38399532,77.4503194215,78.2322767888,77.0922267954,77.7694359795,153598128,0.0,1.0
AAPL,2020-06-01 00:00:00+00:00,321.85,322.35,317.21,317.75,20254653,78.4027970869,78.5245972999,77.2724911106,77.4040353406,81018612,0.0,1.0
AAPL,2020-06-02 00:00:00+00:00,323.34,323.44,318.93,320.75,21910704,78.7657617215,78.7901217641,77.6914838432,78.1348366184,87642816,0.0,1.0
AAPL,2020-06-03 00:00:00+00:00,325.12,326.2,322.3,324.66,26122804,79.1993704797,79.4624589397,78.5124172786,79.0873142838,104491216,0.0,1.0
AAPL,2020-06-04 00:00:00+00:00,322.32,325.62,320.78,324.39,21890091,78.5172892871,79.3211706927,78.1421446312,79.0215421688,87560364,0.0,1.0
AAPL,2020-06-05 00:00:00+00:00,331.5,331.75,323.23,323.35,34312550,80.7535411972,80.8144413037,78.7389656747,78.7681977258,137250200,0.0,1.0
AAPL,2020-06-08 00:00:00+00:00,333.46,333.6,327.32,330.25,23913634,81.230998032,81.2651020916,79.7352914168,80.4490406648,95654536,0.0,1.0
AAPL,2020-06-09 00:00:00+00:00,343.99,345.61,332.01,332.14,36928091,83.7961105171,84.1907432071,80.8777774144,80.9094454698,147712364,0.0,1.0
AAPL,2020-06-10 00:00:00+00:00,352.84,354.77,346.09,347.9,41662938,85.9519742866,86.4221231087,84.3076714115,84.7485881825,166651752,0.0,1.0
AAPL,2020-06-11 00:00:00+00:00,335.9,351.06,335.48,349.31,50415613,81.8253830713,85.5183655284,81.7230708924,85.0920647831,201662452,0.0,1.0
AAPL,2020-06-12 00:00:00+00:00,338.8,347.8,334.22,344.72,50036513,82.5318243065,84.7242281399,81.4161343557,83.973938828,200146052,0.0,1.0
AAPL,2020-06-15 00:00:00+00:00,342.99,345.68,332.58,333.25,34702230,83.5525100912,84.2077952369,81.0166296572,81.1798419426,138808920,0.0,1.0
AAPL,2020-06-16 00:00:00+00:00,352.08,353.2,344.72,351.46,41357182,85.7668379629,86.0396704399,83.973938828,85.6158056988,165428728,0.0,1.0
AAPL,2020-06-17 00:00:00+00:00,351.59,355.4,351.09,355.15,28601626,85.6474737542,86.575591377,85.5256735412,86.5146912705,114406504,0.0,1.0
AAPL,2020-06-18 00:00:00+00:00,351.73,353.45,349.22,351.41,24205096,85.6815778138,86.1005705464,85.0701407447,85.6036256775,96820384,0.0,1.0
AAPL,2020-06-19 00:00:00+00:00,349.72,356.56,345.15,354.64,66118952,85.1919409577,86.8581678711,84.0786870112,86.3904550533,264475808,0.0,1.0
AAPL,2020-06-22 00:00:00+00:00,358.87,359.46,351.15,351.34,33861316,87.420884855,87.5646091063,85.5402895668,85.5865736477,135445264,0.0,1.0
AAPL,2020-06-23 00:00:00+00:00,366.53,372.38,362.27,364.0,53038869,89.2868641176,90.7119266094,88.2491263032,88.67055504,212155476,0.0,1.0
AAPL,2020-06-24 00:00:00+00:00,360.06,368.79,358.52,365.0,48155849,87.7107693618,89.8374010803,87.3356247059,88.914155466,192623396,0.0,1.0
AAPL,2020-06-25 00:00:00+00:00,364.84,365.0,357.57,360.7,34380628,88.8751793978,88.914155466,87.1042043013,87.8666736344,137522512,0.0,1.0
AAPL,2020-06-26 00:00:00+00:00,353.63,365.32,353.02,364.41,51314211,86.1444186231,88.9921076023,85.9958223633,88.7704312147,205256844,0.0,1.0
AAPL,2020-06-29 00:00:00+00:00,361.78,362.1736,351.28,353.25,32661519,88.1297620945,88.2256432221,85.5719576221,86.0518504612,130646076,0.0,1.0
AAPL,2020-06-30 00:00:00+00:00,364.8,365.98,360.0,360.08,35055821,88.8654353808,89.1528838834,87.6961533363,87.7156413704,140223284,0.0,1.0
AAPL,2020-07-01 00:00:00+00:00,364.11,367.36,363.91,365.12,27690454,88.6973510869,89.4890524712,88.6486310017,88.9433875171,110761816,0.0,1.0
AAPL,2020-07-02 00:00:00+00:00,364.11,370.47,363.64,367.85,28814516,88.6973510869,90.2466497958,88.5828588867,89.6084166799,115258064,0.0,1.0
AAPL,2020-07-06 00:00:00+00:00,373.85,375.78,369.87,370.0,29745936,91.0700192355,91.5401680575,90.1004895403,90.1321575956,118983744,0.0,1.0
AAPL,2020-07-07 00:00:00+00:00,372.69,378.62,372.23,375.41,28206999,90.7874427414,92.2319932672,90.6753865455,91.4500358999,112827996,0.0,1.0
AAPL,2020-07-08 00:00:00+00:00,381.37,381.5,376.36,376.72,29274479,92.9018944385,92.9335624939,91.6814563046,91.7691524579,117097916,0.0,1.0
